sl_no,heads_of_crime,major_head,minor_head,current_year_upto,prev_year_same_month,prev_month,current_month,month
151,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Other Places,467,80,46,48,October
152,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",Temple Theft,293,32,27,26,October
153,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Residential Premises,830,75,90,83,October
154,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",On Highways,0,1,0,0,October
155,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Trains,1,0,0,0,October
156,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Banks,2,1,0,0,October
157,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Commercial Places / Establishments,28,0,1,0,October
158,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Other Places,59,6,2,7,October
159,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",Temple Theft,20,2,1,7,October
160,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Sand,1051,112,65,69,October
161,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Government Office,6,0,3,3,October
162,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Tractors,69,10,5,10,October
163,A - IPC Crime,THEFT (Sec.379 to 389 IPC),At ATM,11,2,2,1,October
164,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Mines,21,0,5,2,October
165,A - IPC Crime,THEFT (Sec.379 to 389 IPC),In Running Bus,46,0,7,17,October
166,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Snatching,149,0,37,41,October
167,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Attempt to commit,42,6,5,1,October
168,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Communication And Elec. Wire,223,25,27,28,October
169,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cattle,437,45,37,50,October
170,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cycle,85,11,4,5,October
171,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Lorries/Trucks,76,12,7,4,October
172,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Buses,8,0,1,0,October
173,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Cars / Jeeps,205,29,18,20,October
174,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Two Wheelers ,9298,1150,821,787,October
175,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobies - of Three Wheelers,249,24,28,18,October
176,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Accessories of Motor Vehicle,274,27,28,25,October
177,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Govt. Vehicle,3,1,0,0,October
178,A - IPC Crime,THEFT (Sec.379 to 389 IPC),"Electronic Goods (Radio, TV, VCR, Acs, Office Automation Equipments)",1117,179,89,81,October
179,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Fire Arms,9,1,1,4,October
180,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Explosives,0,0,0,0,October
181,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cultural - Idols,5,0,1,0,October
182,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cultural - Painting,1,2,0,0,October
183,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cultrual - Others,199,32,17,15,October
184,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Cash,486,55,48,43,October
185,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Jewellery,1354,137,123,149,October
186,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Other Items Not Included Above,1529,249,129,139,October
187,A - IPC Crime,THEFT (Sec.379 to 389 IPC),In Running Train,42,7,7,9,October
188,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Extortion,235,24,30,30,October
189,A - IPC Crime,THEFT (Sec.379 to 389 IPC),House Theft,1631,216,163,171,October
190,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Servant Theft,435,31,48,47,October
191,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Land Dispute,821,89,43,50,October
192,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Employee - Govt.,1,0,0,1,October
193,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Labour - Private Sector,2,0,0,0,October
194,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Labour - Public Sector,1,0,0,0,October
195,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Linguistic,2,1,0,0,October
196,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Political ,15,0,2,1,October
197,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Regional,5,2,0,0,October
198,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Sectarian,0,0,0,0,October
199,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Students,6,1,0,1,October
200,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Tribal,0,0,0,0,October
201,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Due to Village Disputes,23,0,2,2,October
202,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Communal,21,0,18,1,October
203,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Industrial,3,0,0,0,October
204,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Caste,5,0,0,0,October
205,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Agrarian,1,0,0,0,October
206,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Others,2052,246,215,145,October
207,A - IPC Crime,"OFFENCES AGAINST STATE (Sec. 121 to 130, except 124(A) IPC)",,0,0,0,0,October
208,A - IPC Crime,"OFFENCES PROMOTING ENEMITY (Sec. 153(A), 154(B) & 505 IPC",,90,18,12,10,October
209,A - IPC Crime,CRIMINAL BREACH OF TRUST,,469,42,42,44,October
210,A - IPC Crime,CHEATING (Sec.417 to 420 IPC),,5568,657,534,477,October
211,A - IPC Crime,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC )","Stock Share, Debentrue Certificate",0,0,0,0,October
212,A - IPC Crime,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC )",Usage of Counterfeit Stamp,0,0,0,0,October
213,A - IPC Crime,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC )",Of Coins (Sec 231 to 254 IPC),0,0,0,0,October
214,A - IPC Crime,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC )",Of Stamps (Sec.255 to 263(A) IPC),0,0,0,0,October
215,A - IPC Crime,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC )",Of Currency Notes And Bank Notes (Sec. 489 (A) to 489 (E) IPC),28,1,2,1,October
216,A - IPC Crime,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC )",Of Others,2,1,0,1,October
217,A - IPC Crime,"FORGERY (Sec. 465, 468, 471, 473, 476, 477 & 477(A) IPC",Forgery  ,314,36,35,30,October
218,A - IPC Crime,"FORGERY (Sec. 465, 468, 471, 473, 476, 477 & 477(A) IPC",Organised (Racket),1,0,0,0,October
219,A - IPC Crime,"FORGERY (Sec. 465, 468, 471, 473, 476, 477 & 477(A) IPC",Forgery of Passport,0,0,0,0,October
220,A - IPC Crime,"FORGERY (Sec. 465, 468, 471, 473, 476, 477 & 477(A) IPC",Other Forgery,119,14,18,12,October
221,A - IPC Crime,"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333)",Acid Attack (326(a)),8,0,1,1,October
222,A - IPC Crime,"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333)",Attempt to Acid Attack (326(b)),1,0,0,0,October
223,A - IPC Crime,"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333)",Grievous Hurt,1050,131,74,96,October
224,A - IPC Crime,"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333)",Simple Hurt,13413,1383,1237,1179,October
225,A - IPC Crime,"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333)",Custodial,1,0,0,0,October
226,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Attempt to Commit,0,0,0,0,October
227,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Alcoholic Drink (Liquor),4,0,0,0,October
228,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Cement & Chemical/Fertiliser,0,0,0,0,October
229,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Cosmetics,0,0,0,0,October
230,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Diesel,0,0,0,0,October
231,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Drug/Medicine,0,1,0,0,October
