sl_no,heads_of_crime,major_head,minor_head,current_year_upto,prev_year_same_month,prev_month,current_month,month
495,A - IPC Crime,Disobedience to Order Promulgated by Public/Servant,By Private Institution,10.0,45.0,6.0,2.0,May
496,A - IPC Crime,Disobedience to Order Promulgated by Public/Servant,By Govt. Institution,7.0,15.0,0.0,1.0,May
497,A - IPC Crime,Human Trafficking,Eunuch,2.0,0.0,0.0,1.0,May
498,A - IPC Crime,Human Trafficking,Men,0.0,0.0,0.0,0.0,May
499,A - IPC Crime,Human Trafficking,Boy,4.0,0.0,1.0,1.0,May
500,A - IPC Crime,Human Trafficking,Women,1.0,0.0,0.0,1.0,May
501,A - IPC Crime,Human Trafficking,Girl,0.0,0.0,0.0,0.0,May
502,A - IPC Crime,Aadhaar Act,Impersonation,0.0,0.0,0.0,0.0,May
503,A - IPC Crime,Aadhaar Act,Offence by Company,0.0,0.0,0.0,0.0,May
504,A - IPC Crime,Aadhaar Act,Offence by individual,0.0,0.0,0.0,0.0,May
505,A - IPC Crime,Giving false information respecting an offence com,Giving false information respecting an offence committed,1.0,0.0,1.0,0.0,May
506,B - SPECIAL & LOCAL LAWS,ANTIQUES (CULTURAL PROPERTY),Antiques & Art Treasures Act 1972,0.0,0.0,0.0,0.0,May
507,B - SPECIAL & LOCAL LAWS,ANTIQUES (CULTURAL PROPERTY),Ancient Monument & Archaelogical Sites And Remains Act 1958,2.0,0.0,1.0,0.0,May
508,B - SPECIAL & LOCAL LAWS,ARMS ACT 1959,Country Made - Non Prohibited Bore - In Disturbed Area,11.0,0.0,3.0,2.0,May
509,B - SPECIAL & LOCAL LAWS,ARMS ACT 1960,Country Made - Non Prohibited Bore - In Other Area,40.0,10.0,11.0,9.0,May
510,B - SPECIAL & LOCAL LAWS,ARMS ACT 1961,Country Made - Prohibited Bore - In Disturbed Area,3.0,0.0,0.0,3.0,May
511,B - SPECIAL & LOCAL LAWS,ARMS ACT 1962,Country Made - Prohibited Bore - In Other Area,31.0,6.0,9.0,11.0,May
512,B - SPECIAL & LOCAL LAWS,ARMS ACT 1963,Factory Made - Non Prohibited Bore - In Disturbed Area,1.0,0.0,0.0,0.0,May
513,B - SPECIAL & LOCAL LAWS,ARMS ACT 1964,Factory Made - Non Prohibited Bore - In Other Area,11.0,3.0,0.0,2.0,May
514,B - SPECIAL & LOCAL LAWS,ARMS ACT 1965,Factory Made - Prohibited Bore - In Disturbed Area,1.0,0.0,0.0,1.0,May
515,B - SPECIAL & LOCAL LAWS,ARMS ACT 1966,Factory Made - Prohibited Bore - In Other Area,11.0,1.0,2.0,3.0,May
516,B - SPECIAL & LOCAL LAWS,ANIMAL,The Karnataka Prevention of Slaughter and Preservation of Cattle Ordinance 2020,61.0,7.0,13.0,14.0,May
517,B - SPECIAL & LOCAL LAWS,ANIMAL,Wild Life Preservation Act 1972,0.0,0.0,0.0,0.0,May
518,B - SPECIAL & LOCAL LAWS,ANIMAL,Wild Life Protection Act 1972,1.0,0.0,0.0,0.0,May
519,B - SPECIAL & LOCAL LAWS,ANIMAL,Prevention of Cruelty to Animals Act 1960,68.0,11.0,11.0,15.0,May
520,B - SPECIAL & LOCAL LAWS,ANIMAL,Elephant (Preservation) Act 1879,0.0,0.0,0.0,0.0,May
521,B - SPECIAL & LOCAL LAWS,ANIMAL,Cattle Tresspass Act 1871,2.0,0.0,0.0,0.0,May
522,B - SPECIAL & LOCAL LAWS,CINEMATOGRAPHY ACT 1952,Films,2.0,0.0,0.0,1.0,May
523,B - SPECIAL & LOCAL LAWS,CINEMATOGRAPHY ACT 1953,Video,0.0,0.0,0.0,0.0,May
524,B - SPECIAL & LOCAL LAWS,CONSUMER,Liquified Petroleum Gas Supply & Control Order 2000 ,36.0,0.0,6.0,5.0,May
525,B - SPECIAL & LOCAL LAWS,CONSUMER,Consumer (Protection) Act 1986,4.0,0.0,1.0,1.0,May
526,B - SPECIAL & LOCAL LAWS,CONSUMER,Essential Commodities Act 1955,219.0,20.0,46.0,46.0,May
527,B - SPECIAL & LOCAL LAWS,CONSUMER,Prevention of Food Adulternation Act 1954,0.0,0.0,0.0,0.0,May
528,B - SPECIAL & LOCAL LAWS,CONSUMER,Packaged Commodities (Regulation) order 1975,0.0,0.0,0.0,0.0,May
529,B - SPECIAL & LOCAL LAWS,COPY RIGHT ACT 1957,By Company,60.0,7.0,6.0,13.0,May
530,B - SPECIAL & LOCAL LAWS,COPY RIGHT ACT 1958,By Individual,36.0,2.0,5.0,7.0,May
531,B - SPECIAL & LOCAL LAWS,CIVIL RIGHTS,Protection of Civil Rights Act 1955,0.0,0.0,0.0,0.0,May
532,B - SPECIAL & LOCAL LAWS,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Caste  ,575.0,90.0,112.0,98.0,May
533,B - SPECIAL & LOCAL LAWS,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Tribes,136.0,25.0,28.0,22.0,May
534,B - SPECIAL & LOCAL LAWS,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Caste Women,221.0,29.0,40.0,42.0,May
535,B - SPECIAL & LOCAL LAWS,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Tribes Women,55.0,7.0,10.0,8.0,May
536,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Child Labour (Prohibition & Regulation) Act1986,30.0,19.0,7.0,4.0,May
537,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Child Marriage (Restraint) Act - 1929,67.0,10.0,19.0,20.0,May
538,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Juvenile Justice Act 1986,73.0,12.0,25.0,18.0,May
539,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Probation of offenders Act 1958,0.0,0.0,0.0,0.0,May
540,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Protection of Children from Sexual Offences Act 2012 (POCSO),0.0,0.0,0.0,0.0,May
541,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1988,Public Servant - Elected,0.0,0.0,0.0,0.0,May
542,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1989,Public Servant - Gazetted - Central,0.0,0.0,0.0,0.0,May
543,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1990,Public Servant - Gazetted - Defence,0.0,0.0,0.0,0.0,May
544,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1991,Public Servant - Gazetted - Public Sector Undertaking,0.0,0.0,0.0,0.0,May
545,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1992,Public Servant - Gazetted - State,0.0,0.0,0.0,0.0,May
546,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1993,Public Servant - Non-Gazetted - Central,0.0,0.0,0.0,0.0,May
547,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1994,Public Servant - Non-Gazetted - Defence,0.0,0.0,0.0,0.0,May
548,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1995,Public Servant - Non-Gazetted - State,0.0,0.0,0.0,0.0,May
549,B - SPECIAL & LOCAL LAWS,CUSTOMS,Customs Act 1962,0.0,0.0,0.0,0.0,May
550,B - SPECIAL & LOCAL LAWS,CUSTOMS,Import/Export (Control) Act 1947,0.0,0.0,0.0,0.0,May
551,B - SPECIAL & LOCAL LAWS,Explosives,Explosives Substances Act 1908,14.0,3.0,1.0,2.0,May
552,B - SPECIAL & LOCAL LAWS,Explosives,Explosives Act 1884,22.0,0.0,4.0,2.0,May
553,B - SPECIAL & LOCAL LAWS,Explosives,Inflammable Substance Act 1952,0.0,0.0,0.0,0.0,May
554,B - SPECIAL & LOCAL LAWS,FOREIGN EXCHANGE,Smugglers and Foreign Exchange Manipulator Act 1976,0.0,0.0,0.0,0.0,May
555,B - SPECIAL & LOCAL LAWS,FOREIGN EXCHANGE,Foreign Exchange Regulation Act 1973,0.0,0.0,0.0,0.0,May
556,B - SPECIAL & LOCAL LAWS,FOREIGN EXCHANGE,Foreign Exchange Regulation Act 1952,0.0,0.0,0.0,0.0,May
557,B - SPECIAL & LOCAL LAWS,FOREIGNER,Foreigners Act 1946,7.0,0.0,0.0,6.0,May
558,B - SPECIAL & LOCAL LAWS,FOREIGNER,Registration of Foreigners Act 1939,0.0,0.0,0.0,0.0,May
559,B - SPECIAL & LOCAL LAWS,FOREST,Indian Forest Act 1927,2.0,1.0,0.0,0.0,May
560,B - SPECIAL & LOCAL LAWS,FOREST,Forest (Conservation) Act 1980,4.0,0.0,0.0,0.0,May
561,B - SPECIAL & LOCAL LAWS,HIJACKING,Foreign Aircraft - In India,0.0,0.0,0.0,0.0,May
562,B - SPECIAL & LOCAL LAWS,HIJACKING,Foreign Aircraft - Outside India,0.0,0.0,0.0,0.0,May
563,B - SPECIAL & LOCAL LAWS,HIJACKING,Indian Aircraft - In India,0.0,0.0,0.0,0.0,May
564,B - SPECIAL & LOCAL LAWS,HIJACKING,Indian Aircraft - Outside India,0.0,0.0,0.0,0.0,May
565,B - SPECIAL & LOCAL LAWS,IMMORAL TRAFFIC,Organised,105.0,15.0,10.0,26.0,May
566,B - SPECIAL & LOCAL LAWS,IMMORAL TRAFFIC,Un-Organised,39.0,7.0,2.0,6.0,May
567,B - SPECIAL & LOCAL LAWS,BONDED LABOUR SYSTEM,,0.0,1.0,0.0,0.0,May
568,B - SPECIAL & LOCAL LAWS,INDIAN MOTOR VEHICLE,,39.0,1.0,10.0,6.0,May
569,B - SPECIAL & LOCAL LAWS,NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT,Cultivated/Processed,510.0,292.0,79.0,75.0,May
570,B - SPECIAL & LOCAL LAWS,NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT,Synthetic,877.0,150.0,138.0,168.0,May
571,B - SPECIAL & LOCAL LAWS,PASSPORT ACT,Foreigner,1.0,0.0,1.0,0.0,May
572,B - SPECIAL & LOCAL LAWS,PASSPORT ACT,Indian,1.0,3.0,0.0,0.0,May
573,B - SPECIAL & LOCAL LAWS,REPRESENTATIVE OF PEOPLE ACT 1951 & 1988,Assembly,3.0,171.0,2.0,0.0,May
574,B - SPECIAL & LOCAL LAWS,REPRESENTATIVE OF PEOPLE ACT 1951 & 1989,Parliament,100.0,0.0,67.0,24.0,May
575,B - SPECIAL & LOCAL LAWS,REPRESENTATIVE OF PEOPLE ACT 1951 & 1990,Other Elected Bodies,10.0,10.0,3.0,4.0,May
576,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),2070.0,315.0,293.0,306.0,May
577,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1964,Street Gambling (87),2605.0,261.0,717.0,412.0,May
578,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1965,House Gambling (79 & 80),95.0,9.0,19.0,20.0,May
579,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1966,Betting ,357.0,73.0,171.0,114.0,May
580,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1967,Others ,286.0,55.0,48.0,29.0,May
581,B - SPECIAL & LOCAL LAWS,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,,73.0,10.0,11.0,20.0,May
582,B - SPECIAL & LOCAL LAWS,"POST & TELEGRAPH, TELEGRAPH WIRES (UNLAWFUL POSSESSION) ACT 1980",OFFICIAL SECURITY RELATED ACTS,,,,,May
583,B - SPECIAL & LOCAL LAWS,"POST & TELEGRAPH, TELEGRAPH WIRES (UNLAWFUL POSSESSION) ACT 1981",Official Secrets Act 1923,0.0,0.0,0.0,0.0,May
584,B - SPECIAL & LOCAL LAWS,"POST & TELEGRAPH, TELEGRAPH WIRES (UNLAWFUL POSSESSION) ACT 1982",Essential Services Maintenance Act 1981,0.0,0.0,0.0,0.0,May
585,B - SPECIAL & LOCAL LAWS,PREVENTION OF TERRORISM ACT (POTA),,0.0,0.0,0.0,0.0,May
586,B - SPECIAL & LOCAL LAWS,RAILWAYS ACT,Indian Railways Act 1989,1.0,0.0,0.0,1.0,May
587,B - SPECIAL & LOCAL LAWS,RAILWAYS ACT,Railway Property (Unlawful Possession) Act 1966,0.0,0.0,0.0,0.0,May
588,B - SPECIAL & LOCAL LAWS,UNLAWFUL ACTIVITIES (Prevention) Act 1967,,4.0,0.0,1.0,0.0,May
589,B - SPECIAL & LOCAL LAWS,CRIMES RELATED TO WOMEN,Dowry Prohibition,859.0,151.0,145.0,188.0,May
590,B - SPECIAL & LOCAL LAWS,CRIMES RELATED TO WOMEN,Commission of SATI (Prevention) Act 1987,0.0,0.0,0.0,0.0,May
591,B - SPECIAL & LOCAL LAWS,CRIMES RELATED TO WOMEN,Indecent Representation of Women (Prohibition) Act 1986,0.0,1.0,0.0,0.0,May
592,B - SPECIAL & LOCAL LAWS,INDIAN LUNACY ACT,,0.0,0.0,0.0,0.0,May
593,B - SPECIAL & LOCAL LAWS,INDIAN ELECTRICITY ACT,,2.0,0.0,1.0,0.0,May
594,B - SPECIAL & LOCAL LAWS,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",,359.0,37.0,35.0,95.0,May
