sl_no,heads_of_crime,major_head,minor_head,current_year_upto,prev_year_same_month,prev_month,current_month,month
190,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Labour - Public Sector,0.0,0.0,0.0,0.0,January
191,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Linguistic,1.0,1.0,11.0,1.0,January
192,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Political ,0.0,0.0,0.0,0.0,January
193,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Regional,0.0,0.0,2.0,0.0,January
194,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Sectarian,0.0,0.0,0.0,0.0,January
195,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Students,3.0,0.0,1.0,3.0,January
196,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Tribal,0.0,0.0,0.0,0.0,January
197,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Due to Village Disputes,1.0,2.0,3.0,1.0,January
198,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Communal,0.0,0.0,0.0,0.0,January
199,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Industrial,0.0,1.0,0.0,0.0,January
200,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Caste,0.0,0.0,0.0,0.0,January
201,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Agrarian,0.0,1.0,0.0,0.0,January
202,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Others,203.0,193.0,188.0,203.0,January
203,A - IPC Crime,"OFFENCES AGAINST STATE (Sec. 121 to 130, except 124(A) IPC)",,0.0,0.0,0.0,0.0,January
204,A - IPC Crime,"OFFENCES PROMOTING ENEMITY (Sec. 153(A), 154(B) & 505 IPC",,15.0,4.0,6.0,15.0,January
205,A - IPC Crime,CRIMINAL BREACH OF TRUST,,46.0,36.0,46.0,46.0,January
206,A - IPC Crime,CHEATING (Sec.417 to 420 IPC),,630.0,513.0,666.0,630.0,January
