sl_no,heads_of_crime,major_head,minor_head,current_year_upto,prev_year_same_month,prev_month,current_month,month
160,,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Attempt to commit,47.0,5.0,4.0,2.0,December
161,,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Of Automobiles - Of Tractors,86.0,15.0,6.0,11.0,December
162,,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),In Running Bus,72.0,0.0,18.0,7.0,December
163,,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Of Snatching,235.0,0.0,28.0,54.0,December
164,,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),At ATM,16.0,3.0,2.0,3.0,December
165,,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Of Sand,1259.0,95.0,87.0,120.0,December
166,,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Government Office,12.0,0.0,2.0,4.0,December
167,,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Of Mines,28.0,0.0,5.0,2.0,December
168,,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Communication And Elec. Wire,276.0,21.0,30.0,23.0,December
169,,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Of Cattle,501.0,39.0,29.0,31.0,December
170,,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Of Cycle,93.0,14.0,6.0,2.0,December
171,,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Of Automobiles - Of Lorries/Trucks,85.0,12.0,1.0,8.0,December
172,,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Of Automobiles - Of Buses,10.0,1.0,0.0,2.0,December
173,,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Of Automobiles - Of Cars / Jeeps,259.0,24.0,22.0,31.0,December
174,,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Of Automobiles - Of Two Wheelers ,10874.0,1057.0,732.0,841.0,December
175,,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Of Automobies - of Three Wheelers,296.0,25.0,17.0,30.0,December
176,,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Of Accessories of Motor Vehicle,315.0,29.0,18.0,25.0,December
177,,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Govt. Vehicle,3.0,0.0,0.0,0.0,December
178,,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),"Electronic Goods (Radio, TV, VCR, Acs, Office Automation Equipments)",1292.0,158.0,71.0,100.0,December
179,,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Of Fire Arms,10.0,2.0,0.0,1.0,December
180,,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Of Explosives,0.0,0.0,0.0,0.0,December
181,,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Of Cultural - Idols,7.0,1.0,0.0,2.0,December
182,,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Of Cultural - Painting,2.0,0.0,0.0,1.0,December
183,,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Of Cultrual - Others,240.0,28.0,22.0,22.0,December
184,,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Cash,583.0,79.0,47.0,51.0,December
185,,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Jewellery,1659.0,154.0,157.0,149.0,December
186,,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Other Items Not Included Above,1804.0,200.0,124.0,160.0,December
187,,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),In Running Train,64.0,6.0,18.0,7.0,December
188,,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Extortion,271.0,27.0,17.0,22.0,December
189,,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),House Theft,1922.0,176.0,152.0,139.0,December
190,,THEFT (Sec.379 to 389 IPC/303(2) TO 308(7) BNS),Servant Theft,528.0,60.0,52.0,40.0,December
191,,"RIOTS (Sec.141 to 153 IPC/189(1) TO 189(6),191(1)TO 191(3), 190,192,195 BNS))",Land Dispute,949.0,93.0,57.0,67.0,December
192,,"RIOTS (Sec.141 to 153 IPC/189(1) TO 189(6),191(1)TO 191(3), 190,192,195 BNS))",Employee - Govt.,2.0,0.0,1.0,0.0,December
193,,"RIOTS (Sec.141 to 153 IPC/189(1) TO 189(6),191(1)TO 191(3), 190,192,195 BNS))",Labour - Private Sector,3.0,0.0,1.0,0.0,December
194,,"RIOTS (Sec.141 to 153 IPC/189(1) TO 189(6),191(1)TO 191(3), 190,192,195 BNS))",Labour - Public Sector,1.0,0.0,0.0,0.0,December
195,,"RIOTS (Sec.141 to 153 IPC/189(1) TO 189(6),191(1)TO 191(3), 190,192,195 BNS))",Linguistic,2.0,11.0,0.0,0.0,December
196,,"RIOTS (Sec.141 to 153 IPC/189(1) TO 189(6),191(1)TO 191(3), 190,192,195 BNS))",Political ,24.0,0.0,2.0,7.0,December
197,,"RIOTS (Sec.141 to 153 IPC/189(1) TO 189(6),191(1)TO 191(3), 190,192,195 BNS))",Regional,5.0,2.0,0.0,0.0,December
198,,"RIOTS (Sec.141 to 153 IPC/189(1) TO 189(6),191(1)TO 191(3), 190,192,195 BNS))",Sectarian,0.0,0.0,0.0,0.0,December
199,,"RIOTS (Sec.141 to 153 IPC/189(1) TO 189(6),191(1)TO 191(3), 190,192,195 BNS))",Students,6.0,1.0,0.0,0.0,December
200,,"RIOTS (Sec.141 to 153 IPC/189(1) TO 189(6),191(1)TO 191(3), 190,192,195 BNS))",Tribal,0.0,0.0,0.0,0.0,December
201,,"RIOTS (Sec.141 to 153 IPC/189(1) TO 189(6),191(1)TO 191(3), 190,192,195 BNS))",Due to Village Disputes,24.0,3.0,1.0,0.0,December
202,,"RIOTS (Sec.141 to 153 IPC/189(1) TO 189(6),191(1)TO 191(3), 190,192,195 BNS))",Communal,21.0,0.0,0.0,0.0,December
203,,"RIOTS (Sec.141 to 153 IPC/189(1) TO 189(6),191(1)TO 191(3), 190,192,195 BNS))",Industrial,3.0,0.0,0.0,0.0,December
204,,"RIOTS (Sec.141 to 153 IPC/189(1) TO 189(6),191(1)TO 191(3), 190,192,195 BNS))",Caste,7.0,0.0,2.0,0.0,December
205,,"RIOTS (Sec.141 to 153 IPC/189(1) TO 189(6),191(1)TO 191(3), 190,192,195 BNS))",Agrarian,1.0,0.0,0.0,0.0,December
206,,"RIOTS (Sec.141 to 153 IPC/189(1) TO 189(6),191(1)TO 191(3), 190,192,195 BNS))",Others,2381.0,189.0,155.0,172.0,December
207,,"OFFENCES AGAINST STATE (Sec. 121 to 130, except 124(A) IPC/147 TO 158BNS)",,0.0,0.0,0.0,0.0,December
208,,"OFFENCES PROMOTING ENEMITY (Sec. 153(A), 154(B) & 505 IPC/196, 197 & 353 BNS",,111.0,5.0,12.0,8.0,December
209,,CRIMINAL BREACH OF TRUST (Sec. 406 to 409 IPC/316(2) to 316(5) BNS),,569.0,46.0,38.0,59.0,December
210,,"CHEATING (Sec.417 to 420 IPC/318(2)to 318(4), 319(2) BNS)",,6582.0,670.0,466.0,556.0,December
211,,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC/178 TO 185 BNS)","Stock Share, Debentrue Certificate",0.0,0.0,0.0,0.0,December
212,,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC/178 TO 185 BNS)",Usage of Counterfeit Stamp,0.0,0.0,0.0,0.0,December
213,,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC/178 TO 185 BNS)",Of Coins (Sec 231 to 254 IPC),0.0,0.0,0.0,0.0,December
214,,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC/178 TO 185 BNS)",Of Stamps (Sec.255 to 263(A) IPC),0.0,0.0,0.0,0.0,December
215,,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC/178 TO 185 BNS)",Of Currency Notes And Bank Notes (Sec. 489 (A) to 489 (E) IPC),30.0,4.0,1.0,1.0,December
216,,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC/178 TO 185 BNS)",Of Others,2.0,0.0,0.0,0.0,December
217,,"FORGERY (Sec. 465, 468, 471, 473, 476, 477 & 477(A) IPC/336(2),336(3),340(2),341(2),342(2),343,
344 BNS)",Forgery  ,403.0,38.0,46.0,43.0,December
218,,"FORGERY (Sec. 465, 468, 471, 473, 476, 477 & 477(A) IPC/336(2),336(3),340(2),341(2),342(2),343,
344 BNS)",Organised (Racket),1.0,0.0,0.0,0.0,December
219,,"FORGERY (Sec. 465, 468, 471, 473, 476, 477 & 477(A) IPC/336(2),336(3),340(2),341(2),342(2),343,
344 BNS)",Forgery of Passport,1.0,0.0,0.0,1.0,December
220,,"FORGERY (Sec. 465, 468, 471, 473, 476, 477 & 477(A) IPC/336(2),336(3),340(2),341(2),342(2),343,
344 BNS)",Other Forgery,145.0,14.0,15.0,11.0,December
221,,"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333/115(2) TO 122(2) EXCEPT 121(1),121(2) BNS)",Acid Attack (326(a)),8.0,0.0,1.0,0.0,December
222,,"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333/115(2) TO 122(2) EXCEPT 121(1),121(2) BNS)",Attempt to Acid Attack (326(b)),1.0,3.0,0.0,0.0,December
